Interactive Elements:
ID: mache-0 | Parent: none | Tag: ul | Role: ul | Text: "  " | Bounds: 0.0010,-0.2963,0.9979,0.0000 | Path: ul.a11y-menu
ID: mache-1 | Parent: mache-0 | Tag: a | Role: link | Text: "Skip to main content" | Bounds: 0.0010,-0.2963,0.9979,0.0459 | Path: ul.a11y-menu > li > a
ID: mache-2 | Parent: mache-0 | Tag: a | Role: link | Text: "Skip to search" | Bounds: 0.0010,-0.2963,0.9979,0.0459 | Path: ul.a11y-menu > li > a
ID: mache-3 | Parent: none | Tag: header | Role: banner | Text: "   " | Bounds: 0.0000,0.0843,1.0000,0.0907 | Path: header.page-layout__header
ID: mache-4 | Parent: mache-3 | Tag: nav | Role: navigation | Text: "    " | Bounds: 0.0000,0.0843,1.0000,0.0611 | Path: header.page-layout__header > nav.navigation
ID: mache-5 | Parent: mache-4 | Tag: div | Role: div | Text: " " | Bounds: 0.1302,0.0963,0.0516,0.0370 | Path: header.page-layout__header > nav.navigation > div.navigation__logo
ID: mache-6 | Parent: mache-5 | Tag: a | Role: link | Text: " " | Bounds: 0.1302,0.0963,0.0516,0.0370 | Path: header.page-layout__header > nav.navigation > div.navigation__logo > a.logo
ID: mache-7 | Parent: mache-4 | Tag: button | Role: button | Text: "Toggle navigation" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: header.page-layout__header > nav.navigation > button.navigation__button
ID: mache-8 | Parent: mache-4 | Tag: div | Role: div | Text: "   " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: header.page-layout__header > nav.navigation > div.navigation__popup
ID: mache-9 | Parent: mache-8 | Tag: div | Role: div | Text: " " | Bounds: 0.2771,0.0977,0.4265,0.0343 | Path: header.page-layout__header > nav.navigation > div.navigation__popup > div.navigation__menu
ID: mache-10 | Parent: mache-9 | Tag: nav | Role: navigation | Text: " " | Bounds: 0.2771,0.0977,0.4265,0.0343 | Path: nav.navigation > div.navigation__popup > div.navigation__menu > nav.menu
ID: mache-11 | Parent: mache-10 | Tag: div | Role: div | Text: " " | Bounds: 0.2771,0.0977,0.0458,0.0343 | Path: div.navigation__popup > div.navigation__menu > nav.menu > div.menu__tab
ID: mache-12 | Parent: mache-11 | Tag: button | Role: button | Text: " " | Bounds: 0.2771,0.0977,0.0458,0.0343 | Path: nav.menu > div.menu__tab > mdn-dropdown > button.menu__tab-button
ID: mache-13 | Parent: mache-11 | Tag: div | Role: div | Text: "  " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: nav.menu > div.menu__tab > mdn-dropdown > div.menu__panel
ID: mache-14 | Parent: mache-13 | Tag: a | Role: link | Text: "HTML: Markup language" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: mdn-dropdown > div.menu__panel > p.menu__panel-title > a
ID: mache-15 | Parent: mache-13 | Tag: div | Role: div | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__tab > mdn-dropdown > div.menu__panel > div.menu__panel-content
ID: mache-16 | Parent: mache-15 | Tag: ul | Role: ul | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__panel-content > dl > dd > ul
ID: mache-17 | Parent: mache-16 | Tag: a | Role: link | Text: "Elements" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-18 | Parent: mache-16 | Tag: a | Role: link | Text: "Global attributes" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-19 | Parent: mache-16 | Tag: a | Role: link | Text: "Attributes" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-20 | Parent: mache-16 | Tag: a | Role: link | Text: "See all HTML references" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
