Interactive Elements:
ID: mache-0 | Parent: none | Tag: div | Role: div | Text: "             " | Bounds: 0.0000,0.0000,1.0000,10.2299 | Path: div.logged-out.env-production
ID: mache-1 | Parent: mache-0 | Tag: div | Role: div | Text: "            " | Bounds: 0.0000,0.0000,1.0000,0.0000 | Path: div.logged-out.env-production > div.position-relative.header-wrapper
ID: mache-2 | Parent: mache-1 | Tag: a | Role: link | Text: "Skip to content" | Bounds: 0.0000,0.0000,0.0005,0.0009 | Path: div.logged-out.env-production > div.position-relative.header-wrapper > a.px-2.tmp-py-4
ID: mache-3 | Parent: mache-1 | Tag: header | Role: banner | Text: "   " | Bounds: 0.0000,0.0000,1.0000,0.0667 | Path: div.logged-out.env-production > div.position-relative.header-wrapper > header.HeaderMktg.header-logged-out
ID: mache-4 | Parent: mache-3 | Tag: h2 | Role: heading | Text: "Navigation Menu" | Bounds: 0.0000,0.0148,0.0005,0.0009 | Path: div.logged-out.env-production > div.position-relative.header-wrapper > header.HeaderMktg.header-logged-out > h2.sr-only
ID: mache-5 | Parent: mache-3 | Tag: button | Role: button | Text: "Toggle navigation" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.logged-out.env-production > div.position-relative.header-wrapper > header.HeaderMktg.header-logged-out > button.HeaderMktg-backdrop.d-lg-none
ID: mache-6 | Parent: mache-3 | Tag: div | Role: div | Text: "  " | Bounds: 0.0000,0.0148,1.0000,0.0370 | Path: div.logged-out.env-production > div.position-relative.header-wrapper > header.HeaderMktg.header-logged-out > div.d-flex.flex-column
ID: mache-7 | Parent: mache-6 | Tag: div | Role: div | Text: "   " | Bounds: 0.0167,0.0171,0.0250,0.0324 | Path: div.position-relative.header-wrapper > header.HeaderMktg.header-logged-out > div.d-flex.flex-column > div.d-flex.flex-justify-between
ID: mache-8 | Parent: mache-7 | Tag: div | Role: div | Text: " " | Bounds: 0.0167,0.0333,0.0000,0.0000 | Path: header.HeaderMktg.header-logged-out > div.d-flex.flex-column > div.d-flex.flex-justify-between > div.flex-1
ID: mache-9 | Parent: mache-8 | Tag: button | Role: button | Text: "Toggle navigation" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.d-flex.flex-column > div.d-flex.flex-justify-between > div.flex-1 > button.js-details-target.js-nav-padding-recalculate
ID: mache-10 | Parent: mache-7 | Tag: a | Role: link | Text: "Homepage" | Bounds: 0.0167,0.0171,0.0167,0.0324 | Path: header.HeaderMktg.header-logged-out > div.d-flex.flex-column > div.d-flex.flex-justify-between > a.tmp-mr-lg-3.color-fg-inherit
ID: mache-11 | Parent: mache-7 | Tag: div | Role: div | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: header.HeaderMktg.header-logged-out > div.d-flex.flex-column > div.d-flex.flex-justify-between > div.d-flex.flex-1
ID: mache-12 | Parent: mache-11 | Tag: a | Role: link | Text: "Sign in" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.d-flex.flex-column > div.d-flex.flex-justify-between > div.d-flex.flex-1 > a.HeaderMenu-link.HeaderMenu-button
