Interactive Elements:
ID: mache-0 | Parent: none | Tag: a | Text: "Skip to content" | Path: div.logged-in > div.position-relative > a.p-3
ID: mache-1 | Parent: mache-102 | Tag: button | Text: "" | Path: div.styles-module__left__Fylw7 > div > button.prc-Button-ButtonBase-9n-Xk
ID: mache-2 | Parent: mache-102 | Tag: a | Text: "" | Path: div.prc-Stack-Stack-UQ9k6 > div.styles-module__left__Fylw7 > a.prc-Button-ButtonBase-9n-Xk
ID: mache-3 | Parent: mache-102 | Tag: a | Text: "Dashboard" | Path: ol.prc-Breadcrumbs-BreadcrumbsList-BKjpe > li.prc-Breadcrumbs-ItemWrapper-k0NLn > a.styles-module__contextCrumb__IzGIq
ID: mache-4 | Parent: mache-102 | Tag: a | Text: "Type / to search" | Path: div.Search-module__searchButtonGroup__aetw5 > div > a.prc-Button-ButtonBase-9n-Xk
ID: mache-5 | Parent: mache-102 | Tag: button | Text: "" | Path: div.prc-Stack-Stack-UQ9k6 > div.styles-module__center__R3QRv > button.prc-Button-ButtonBase-9n-Xk
ID: mache-6 | Parent: mache-102 | Tag: input | Text: "type" | Path: qbsearch-input.search-input > div.search-input-container > input.js-site-search-type-field
ID: mache-7 | Parent: mache-103 | Tag: input | Text: "query-builder-test" | Path: div.QueryBuilder-StyledInputContainer > div.QueryBuilder-InputWrapper > input.FormControl-input
ID: mache-8 | Parent: mache-103 | Tag: button | Text: "" | Path: div.QueryBuilder-StyledInput > span > button.Button
ID: mache-9 | Parent: mache-102 | Tag: a | Text: "Search syntax tips" | Path: div.search-suggestions > div.d-flex > a.Link
ID: mache-10 | Parent: mache-102 | Tag: button | Text: "Give feedback" | Path: div.search-suggestions > div.d-flex > button.Button--link
ID: mache-11 | Parent: mache-102 | Tag: button | Text: "" | Path: div.Overlay-headerContentWrap > div.Overlay-actionWrap > button.close-button
ID: mache-12 | Parent: mache-104 | Tag: input | Text: "authenticity_token" | Path: div.Overlay-body > form > input
ID: mache-14 | Parent: mache-104 | Tag: input | Text: "include_email" | Path: div.Overlay-body > form > input.form-control
ID: mache-15 | Parent: mache-102 | Tag: button | Text: "Cancel" | Path: dialog.Overlay > div.Overlay-footer > button.btn
ID: mache-16 | Parent: mache-102 | Tag: button | Text: "Submit feedback" | Path: dialog.Overlay > div.Overlay-footer > button.btn-primary
ID: mache-17 | Parent: mache-102 | Tag: button | Text: "" | Path: div.Overlay-headerContentWrap > div.Overlay-actionWrap > button.close-button
ID: mache-18 | Parent: mache-105 | Tag: input | Text: "authenticity_token" | Path: div.create-custom-scope-form > form > input
ID: mache-19 | Parent: mache-105 | Tag: input | Text: "custom_scope_id" | Path: div.create-custom-scope-form > form > input
ID: mache-20 | Parent: mache-105 | Tag: input | Text: "github-ruby" | Path: div.form-group > auto-check > input.form-control
ID: mache-21 | Parent: mache-105 | Tag: input | Text: "input" | Path: div.form-group > auto-check > input
ID: mache-22 | Parent: mache-105 | Tag: input | Text: "(repo:mona/a OR repo:mona/b) AND lang:python" | Path: form > div.form-group > input.form-control
ID: mache-23 | Parent: mache-105 | Tag: a | Text: "documentation" | Path: form > p.text-small > a.Link--inTextBlock
ID: mache-24 | Parent: mache-102 | Tag: button | Text: "Cancel" | Path: dialog.Overlay > div.Overlay-footer > button.btn
ID: mache-25 | Parent: mache-102 | Tag: button | Text: "Create saved search" | Path: dialog.Overlay > div.Overlay-footer > button.btn-primary
ID: mache-26 | Parent: mache-102 | Tag: input | Text: "input" | Path: div.styles-module__center__R3QRv > div.d-none > input.js-data-jump-to-suggestions-path-csrf
ID: mache-27 | Parent: mache-102 | Tag: a | Text: "" | Path: div.prc-ButtonGroup-ButtonGroup-vFUrY > div > a.prc-Button-ButtonBase-9n-Xk
ID: mache-28 | Parent: mache-102 | Tag: button | Text: "" | Path: div.prc-ButtonGroup-ButtonGroup-vFUrY > div > button.prc-Button-ButtonBase-9n-Xk
ID: mache-29 | Parent: mache-102 | Tag: button | Text: "" | Path: div.styles-module__right__mlBQg > div.hide-sm > button.prc-Button-ButtonBase-9n-Xk
ID: mache-30 | Parent: mache-102 | Tag: a | Text: "" | Path: div.styles-module__right__mlBQg > div.hide-sm > a.prc-Button-ButtonBase-9n-Xk
ID: mache-31 | Parent: mache-102 | Tag: a | Text: "" | Path: div.styles-module__right__mlBQg > div.hide-sm > a.prc-Button-ButtonBase-9n-Xk
ID: mache-32 | Parent: mache-102 | Tag: a | Text: "" | Path: div.styles-module__right__mlBQg > div.hide-sm > a.prc-Button-ButtonBase-9n-Xk
ID: mache-33 | Parent: mache-102 | Tag: a | Text: "" | Path: div.prc-Stack-Stack-UQ9k6 > div.styles-module__right__mlBQg > a.prc-Button-ButtonBase-9n-Xk
