Interactive Elements:
ID: mache-0 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0796,0.0093,0.0104,0.0185 | Path: tbody > tr > td > a
ID: mache-1 | Parent: none | Tag: a | Role: link | Text: "Hacker News" | Bounds: 0.0926,0.0111,0.0510,0.0148 | Path: td > span.pagetop > b.hnname > a
ID: mache-2 | Parent: none | Tag: a | Role: link | Text: "new" | Bounds: 0.1462,0.0111,0.0142,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-3 | Parent: none | Tag: a | Role: link | Text: "past" | Bounds: 0.1685,0.0111,0.0149,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-4 | Parent: none | Tag: a | Role: link | Text: "comments" | Bounds: 0.1914,0.0111,0.0362,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-5 | Parent: none | Tag: a | Role: link | Text: "ask" | Bounds: 0.2357,0.0111,0.0119,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-6 | Parent: none | Tag: a | Role: link | Text: "show" | Bounds: 0.2556,0.0111,0.0179,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-7 | Parent: none | Tag: a | Role: link | Text: "jobs" | Bounds: 0.2816,0.0111,0.0146,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-8 | Parent: none | Tag: a | Role: link | Text: "submit" | Bounds: 0.3041,0.0111,0.0237,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-9 | Parent: none | Tag: a | Role: link | Text: "login" | Bounds: 0.9016,0.0111,0.0167,0.0148 | Path: tr > td > span.pagetop > a
ID: mache-10 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.0417,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-11 | Parent: none | Tag: a | Role: link | Text: "Microsoft and OpenAI end their exclusive and revenue-sharing deal" | Bounds: 0.0972,0.0403,0.2353,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-12 | Parent: none | Tag: a | Role: link | Text: "bloomberg.com" | Bounds: 0.3370,0.0421,0.0434,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-13 | Parent: none | Tag: a | Role: link | Text: "helsinkiandrew" | Bounds: 0.1323,0.0565,0.0364,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-14 | Parent: none | Tag: a | Role: link | Text: "7 hours ago" | Bounds: 0.1705,0.0565,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-15 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.2052,0.0565,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-16 | Parent: none | Tag: a | Role: link | Text: "503 comments" | Bounds: 0.2212,0.0565,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-17 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.0741,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-18 | Parent: none | Tag: a | Role: link | Text: "Easyduino: Open Source PCB Devboards for KiCad" | Bounds: 0.0972,0.0727,0.1764,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-19 | Parent: none | Tag: a | Role: link | Text: "github.com/hanqaqa" | Bounds: 0.2780,0.0745,0.0578,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-20 | Parent: none | Tag: a | Role: link | Text: "Hanqaqa" | Bounds: 0.1323,0.0889,0.0215,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-21 | Parent: none | Tag: a | Role: link | Text: "2 hours ago" | Bounds: 0.1556,0.0889,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-22 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1903,0.0889,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-23 | Parent: none | Tag: a | Role: link | Text: "10 comments" | Bounds: 0.2063,0.0889,0.0332,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-24 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.1065,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
ID: mache-25 | Parent: none | Tag: a | Role: link | Text: "“Why not just use Lean?”" | Bounds: 0.0972,0.1051,0.0884,0.0148 | Path: tr.athing.submission > td.title > span.titleline > a
ID: mache-26 | Parent: none | Tag: a | Role: link | Text: "lawrencecpaulson.github.io" | Bounds: 0.1901,0.1069,0.0758,0.0120 | Path: td.title > span.titleline > span.sitebit.comhead > a
ID: mache-27 | Parent: none | Tag: a | Role: link | Text: "ibobev" | Bounds: 0.1323,0.1213,0.0161,0.0102 | Path: tr > td.subtext > span.subline > a.hnuser
ID: mache-28 | Parent: none | Tag: a | Role: link | Text: "6 hours ago" | Bounds: 0.1501,0.1213,0.0291,0.0102 | Path: td.subtext > span.subline > span.age > a
ID: mache-29 | Parent: none | Tag: a | Role: link | Text: "hide" | Bounds: 0.1849,0.1213,0.0103,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-30 | Parent: none | Tag: a | Role: link | Text: "125 comments" | Bounds: 0.2008,0.1213,0.0363,0.0102 | Path: tr > td.subtext > span.subline > a
ID: mache-31 | Parent: none | Tag: a | Role: link | Text: "" | Bounds: 0.0899,0.1389,0.0073,0.0093 | Path: tr.athing.submission > td.votelinks > center > a
