Interactive Elements:
ID: mache-0 | Parent: none | Tag: header | Role: banner | Text: "   " | Bounds: 0.2500,0.0148,0.5000,0.0259 | Path: header
ID: mache-1 | Parent: mache-0 | Tag: a | Role: link | Text: "" | Bounds: 0.2552,0.0194,0.0094,0.0167 | Path: header > a
ID: mache-2 | Parent: mache-0 | Tag: div | Role: div | Text: " " | Bounds: 0.2667,0.0194,0.4781,0.0167 | Path: header > div.navholder
ID: mache-3 | Parent: mache-2 | Tag: nav | Role: navigation | Text: "     " | Bounds: 0.2667,0.0194,0.4781,0.0167 | Path: header > div.navholder > nav.links
ID: mache-4 | Parent: mache-3 | Tag: a | Role: link | Text: "Active" | Bounds: 0.2687,0.0194,0.0247,0.0167 | Path: header > div.navholder > nav.links > a
ID: mache-5 | Parent: mache-3 | Tag: a | Role: link | Text: "Recent" | Bounds: 0.2976,0.0194,0.0282,0.0167 | Path: header > div.navholder > nav.links > a
ID: mache-6 | Parent: mache-3 | Tag: a | Role: link | Text: "Comments" | Bounds: 0.3300,0.0194,0.0435,0.0167 | Path: header > div.navholder > nav.links > a
ID: mache-7 | Parent: mache-3 | Tag: a | Role: link | Text: "Search" | Bounds: 0.3777,0.0194,0.0278,0.0167 | Path: header > div.navholder > nav.links > a
ID: mache-8 | Parent: mache-3 | Tag: a | Role: link | Text: "Login" | Bounds: 0.7226,0.0194,0.0222,0.0167 | Path: header > div.navholder > nav.links > a.corner
ID: mache-9 | Parent: mache-0 | Tag: nav | Role: navigation | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: header > nav.corner
ID: mache-10 | Parent: mache-9 | Tag: a | Role: link | Text: "Login" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: header > nav.corner > a.corner
ID: mache-11 | Parent: none | Tag: div | Role: div | Text: "  " | Bounds: 0.2687,0.0481,0.4760,1.4427 | Path: div
ID: mache-12 | Parent: mache-11 | Tag: ol | Role: ol | Text: "                         " | Bounds: 0.2521,0.0481,0.4927,1.4427 | Path: div > ol.stories.list
ID: mache-13 | Parent: mache-12 | Tag: div | Role: div | Text: "  " | Bounds: 0.2521,0.0481,0.4927,0.0576 | Path: div > ol.stories.list > li.story > div.story_liner.h-entry
ID: mache-14 | Parent: mache-13 | Tag: div | Role: div | Text: " " | Bounds: 0.2521,0.0556,0.0156,0.0430 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.voters
ID: mache-15 | Parent: mache-14 | Tag: a | Role: link | Text: "24" | Bounds: 0.2553,0.0556,0.0093,0.0430 | Path: li.story > div.story_liner.h-entry > div.voters > a.upvoter
ID: mache-16 | Parent: mache-13 | Tag: div | Role: div | Text: "      " | Bounds: 0.2687,0.0556,0.4760,0.0465 | Path: ol.stories.list > li.story > div.story_liner.h-entry > div.details
ID: mache-17 | Parent: mache-16 | Tag: a | Role: link | Text: "Email is crazy" | Bounds: 0.2687,0.0600,0.0548,0.0176 | Path: div.story_liner.h-entry > div.details > span.link.h-cite > a.u-url
ID: mache-18 | Parent: mache-16 | Tag: a | Role: link | Text: "email" | Bounds: 0.3272,0.0619,0.0185,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_email
ID: mache-19 | Parent: mache-16 | Tag: a | Role: link | Text: "networking" | Bounds: 0.3494,0.0619,0.0326,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_networking
ID: mache-20 | Parent: mache-16 | Tag: a | Role: link | Text: "security" | Bounds: 0.3857,0.0619,0.0247,0.0139 | Path: div.story_liner.h-entry > div.details > span.tags > a.tag.tag_security
