Interactive Elements:
ID: mache-0 | Parent: none | Tag: a | Role: link | Text: "Jump to content" | Bounds: -0.0005,-0.0009,0.0005,0.0009 | Path: a.mw-jump-link
ID: mache-1 | Parent: none | Tag: div | Role: div | Text: " " | Bounds: 0.0000,0.0000,1.0000,0.0611 | Path: div.vector-header-container
ID: mache-2 | Parent: mache-1 | Tag: header | Role: banner | Text: "  " | Bounds: 0.0844,0.0000,0.8313,0.0611 | Path: div.vector-header-container > header.vector-header.mw-header
ID: mache-3 | Parent: mache-2 | Tag: div | Role: div | Text: "  " | Bounds: 0.1115,0.0074,0.1292,0.0463 | Path: div.vector-header-container > header.vector-header.mw-header > div.vector-header-start
ID: mache-4 | Parent: mache-3 | Tag: nav | Role: navigation | Text: "Site" | Bounds: 0.1115,0.0157,0.0104,0.0296 | Path: div.vector-header-container > header.vector-header.mw-header > div.vector-header-start > nav.vector-main-menu-landmark
ID: mache-5 | Parent: mache-4 | Tag: div | Role: div | Text: "   " | Bounds: 0.1083,0.0157,0.0167,0.0296 | Path: header.vector-header.mw-header > div.vector-header-start > nav.vector-main-menu-landmark > div.vector-dropdown.vector-main-menu-dropdown
ID: mache-6 | Parent: mache-5 | Tag: input | Role: button | Text: "Main menu" | Bounds: 0.1083,0.0157,0.0167,0.0296 | Path: div.vector-header-start > nav.vector-main-menu-landmark > div.vector-dropdown.vector-main-menu-dropdown > input.vector-dropdown-checkbox
ID: mache-7 | Parent: mache-5 | Tag: div | Role: div | Text: " " | Bounds: 0.1078,0.0454,0.1138,0.0296 | Path: div.vector-header-start > nav.vector-main-menu-landmark > div.vector-dropdown.vector-main-menu-dropdown > div.vector-dropdown-content
ID: mache-8 | Parent: mache-7 | Tag: div | Role: div | Text: " " | Bounds: 0.1161,0.0602,0.0971,0.3958 | Path: nav.vector-main-menu-landmark > div.vector-dropdown.vector-main-menu-dropdown > div.vector-dropdown-content > div.vector-unpinned-container
ID: mache-9 | Parent: mache-8 | Tag: div | Role: div | Text: "   " | Bounds: 0.1161,0.0602,0.0971,0.3958 | Path: div.vector-dropdown.vector-main-menu-dropdown > div.vector-dropdown-content > div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element
ID: mache-10 | Parent: mache-9 | Tag: div | Role: div | Text: "   " | Bounds: 0.1161,0.0602,0.0971,0.0283 | Path: div.vector-dropdown-content > div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element > div.vector-pinnable-header.vector-main-menu-pinnable-header
ID: mache-11 | Parent: mache-10 | Tag: button | Role: button | Text: "move to sidebar" | Bounds: 0.1604,0.0611,0.0528,0.0204 | Path: div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element > div.vector-pinnable-header.vector-main-menu-pinnable-header > button.vector-pinnable-header-toggle-button.vector-pinnable-header-pin-button
ID: mache-12 | Parent: mache-10 | Tag: button | Role: button | Text: "hide" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element > div.vector-pinnable-header.vector-main-menu-pinnable-header > button.vector-pinnable-header-toggle-button.vector-pinnable-header-unpin-button
ID: mache-13 | Parent: mache-9 | Tag: div | Role: div | Text: "  " | Bounds: 0.1161,0.0940,0.0971,0.1620 | Path: div.vector-dropdown-content > div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element > div.vector-menu.mw-portlet
ID: mache-14 | Parent: mache-13 | Tag: div | Role: div | Text: " " | Bounds: 0.1161,0.0940,0.0971,0.1620 | Path: div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element > div.vector-menu.mw-portlet > div.vector-menu-content
ID: mache-15 | Parent: mache-14 | Tag: ul | Role: ul | Text: " " | Bounds: 0.1161,0.0940,0.0971,0.1620 | Path: div.vector-main-menu.vector-pinnable-element > div.vector-menu.mw-portlet > div.vector-menu-content > ul.vector-menu-content-list
ID: mache-16 | Parent: mache-15 | Tag: a | Role: link | Text: "Main page" | Bounds: 0.1161,0.0940,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
ID: mache-17 | Parent: mache-15 | Tag: a | Role: link | Text: "Contents" | Bounds: 0.1161,0.1213,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
ID: mache-18 | Parent: mache-15 | Tag: a | Role: link | Text: "Current events" | Bounds: 0.1161,0.1485,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
ID: mache-19 | Parent: mache-15 | Tag: a | Role: link | Text: "Random article" | Bounds: 0.1161,0.1757,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
ID: mache-20 | Parent: mache-15 | Tag: a | Role: link | Text: "About Wikipedia" | Bounds: 0.1161,0.2029,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
ID: mache-21 | Parent: mache-15 | Tag: a | Role: link | Text: "Contact us" | Bounds: 0.1161,0.2301,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
ID: mache-22 | Parent: mache-9 | Tag: div | Role: div | Text: "  " | Bounds: 0.1161,0.2616,0.0971,0.1944 | Path: div.vector-dropdown-content > div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element > div.vector-menu.mw-portlet
ID: mache-23 | Parent: mache-22 | Tag: div | Role: div | Text: " " | Bounds: 0.1161,0.2940,0.0971,0.1620 | Path: div.vector-unpinned-container > div.vector-main-menu.vector-pinnable-element > div.vector-menu.mw-portlet > div.vector-menu-content
ID: mache-24 | Parent: mache-23 | Tag: ul | Role: ul | Text: " " | Bounds: 0.1161,0.2940,0.0971,0.1620 | Path: div.vector-main-menu.vector-pinnable-element > div.vector-menu.mw-portlet > div.vector-menu-content > ul.vector-menu-content-list
ID: mache-25 | Parent: mache-24 | Tag: a | Role: link | Text: "Help" | Bounds: 0.1161,0.2940,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
ID: mache-26 | Parent: mache-24 | Tag: a | Role: link | Text: "Learn to edit" | Bounds: 0.1161,0.3212,0.0971,0.0259 | Path: div.vector-menu-content > ul.vector-menu-content-list > li.mw-list-item > a
